,date,new_confirmed,total_confirmed,country_name
0,2021-04-30,38.0,13121.0,Andorra
1,2021-04-30,1710.0,516301.0,United Arab Emirates
2,2021-04-30,206.0,59576.0,Afghanistan
37,2021-04-30,0.0,1232.0,Antigua and Barbuda
38,2021-04-30,3.0,87.0,Anguilla
39,2021-04-30,130.0,130736.0,Albania
40,2021-04-30,808.0,214872.0,Armenia
41,2021-04-30,,,Netherlands Antilles
42,2021-04-30,232.0,25942.0,Angola
43,2021-04-30,,,Antarctica
44,2021-04-30,6048.0,2928870.0,Argentina
589,2021-04-30,0.0,0.0,American Samoa
590,2021-04-30,2366.0,610733.0,Austria
694,2021-04-30,24.0,29749.0,Australia
703,2021-04-30,15.0,10570.0,Aruba
704,2021-04-30,1307.0,315119.0,Azerbaijan
705,2021-04-30,761.0,196732.0,Bosnia and Herzegovina
706,2021-04-30,3.0,3831.0,Barbados
707,2021-04-30,2955.0,754614.0,Bangladesh
780,2021-04-30,2.0,982865.0,Belgium
792,2021-04-30,0.0,13263.0,Burkina Faso
793,2021-04-30,1850.0,401109.0,Bulgaria
822,2021-04-30,1147.0,174695.0,Bahrain
823,2021-04-30,57.0,3941.0,Burundi
824,2021-04-30,101.0,7821.0,Benin
825,2021-04-30,5.0,2362.0,Bermuda
826,2021-04-30,1.0,224.0,Brunei
827,2021-04-30,1480.0,300258.0,Bolivia
837,2021-04-30,,,Caribbean Netherlands
838,2021-04-30,79726.0,14521289.0,Brazil
6454,2021-04-30,66.0,10349.0,Bahamas
6455,2021-04-30,6.0,1059.0,Bhutan
6456,2021-04-30,,,Bouvet Island
6457,2021-04-30,745.0,46600.0,Botswana
6458,2021-04-30,823.0,354669.0,Belarus
6459,2021-04-30,7.0,12631.0,Belize
6460,2021-04-30,7751.0,1202737.0,Canada
6566,2021-04-30,,,Cocos Islands
6567,2021-04-30,90.0,29701.0,Democratic Republic of the Congo
6598,2021-04-30,0.0,6359.0,Central African Republic
6599,2021-04-30,0.0,10678.0,Republic of the Congo
6600,2021-04-30,3.0,656077.0,Switzerland
6627,2021-04-30,22.0,45885.0,Ivory Coast
6628,2021-04-30,0.0,0.0,Cook Islands
6629,2021-04-30,4416.0,1151658.0,Chile
6992,2021-04-30,0.0,65998.0,Cameroon
6993,2021-04-30,33.0,103562.0,China
7025,2021-04-30,28.0,2824626.0,Colombia
8181,2021-04-30,1927.0,243167.0,Costa Rica
8189,2021-04-30,988.0,104512.0,Cuba
8207,2021-04-30,186.0,22772.0,Cape Verde
8208,2021-04-30,17.0,12146.0,Curaçao
8209,2021-04-30,,,Christmas Island
8210,2021-04-30,760.0,63720.0,Cyprus
8211,2021-04-30,2483.0,1628536.0,Czech Republic
8303,2021-04-30,22231.0,3332532.0,Germany
8732,2021-04-30,55.0,10986.0,Djibouti
8733,2021-04-30,624.0,248950.0,Denmark
8734,2021-04-30,0.0,173.0,Dominica
8735,2021-04-30,338.0,265819.0,Dominican Republic
8768,2021-04-30,232.0,121344.0,Algeria
8769,2021-04-30,2333.0,377662.0,Ecuador
8794,2021-04-30,425.0,121657.0,Estonia
8810,2021-04-30,1011.0,225528.0,Egypt
8811,2021-04-30,,,Western Sahara
8812,2021-04-30,0.0,3640.0,Eritrea
8813,2021-04-30,4.0,3504802.0,Spain
10211,2021-04-30,924.0,254044.0,Ethiopia
10212,2021-04-30,208.0,86613.0,Finland
10213,2021-04-30,2.0,111.0,Fiji
10214,2021-04-30,0.0,63.0,Falkland Islands
10215,2021-04-30,0.0,0.0,Micronesia
10216,2021-04-30,0.0,663.0,Faroe Islands
10217,2021-04-30,31539.0,5565852.0,France
10335,2021-04-30,0.0,22568.0,Gabon
10336,2021-04-30,2345.0,4410893.0,United Kingdom
10533,2021-04-30,0.0,160.0,Grenada
10534,2021-04-30,1551.0,307401.0,Georgia
10535,2021-04-30,95.0,19099.0,French Guiana
10536,2021-04-30,0.0,822.0,Guernsey
10537,2021-04-30,211.0,92464.0,Ghana
10538,2021-04-30,0.0,4283.0,Gibraltar
10539,2021-04-30,0.0,31.0,Greenland
10540,2021-04-30,25.0,5882.0,Gambia
10541,2021-04-30,61.0,22046.0,Guinea
10542,2021-04-30,0.0,7559.0,Equatorial Guinea
10543,2021-04-30,3287.0,337723.0,Greece
10544,2021-04-30,,,South Georgia and the South Sandwich Islands
10545,2021-04-30,1596.0,224621.0,Guatemala
10568,2021-04-30,12.0,7733.0,Guam
10569,2021-04-30,0.0,3726.0,Guinea-Bissau
